id,zipfile,title,description,geometries_type,has_attributes,source,source_url,tippecanoeparams,show,database
carbon,carbon_super_general.geojson.zip;carbon_general.geojson.zip;carbon_full.geojson.zip,LSOA Boundaries,LSOA boundaries with PBCC data,MultiPolygon,TRUE,,,--name=carbon --layer=carbon --attribution=MALCOLMMORGAN --maximum-zoom=8 --minimum-zoom=4 --coalesce-smallest-as-needed --simplification=10 --detect-shared-borders --maximum-tile-bytes=50000000 --buffer=5;--name=carbon --layer=carbon --attribution=MALCOLMMORGAN --maximum-zoom=11 --minimum-zoom=9 --coalesce-smallest-as-needed --simplification=10 --detect-shared-borders --maximum-tile-bytes=5000000 --buffer=5;--name=carbon --layer=carbon --attribution=MALCOLMMORGAN --maximum-zoom=13 --minimum-zoom=12 --coalesce-smallest-as-needed --simplification=10 --detect-shared-borders --maximum-tile-bytes=5000000 --buffer=5,TRUE,FALSE;FALSE;TRUE
battlefields,battlefields.geojson.zip,Registered Battlefields,"Historic England's Register of Historic Battlefields, identifies 47 important English battlefields.",MultiPolygon,FALSE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
conservationareas,conservationareas.geojson.zip,Conservation Areas,Local planning authorities are obliged to designate as conservation areas any parts of their own area that are of special architectural or historic interest.,MultiPolygon,FALSE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
constituencies,constituencies.geojson.zip,Parliamentary Constituencies,Westminster parliamentary constituencies,MultiPolygon,FALSE,MALCOLMMORGAN,,,TRUE,FALSE
greenbelt,greenbelt.geojson.zip,Greenbelt,Greenbelt boundaries in 2020,MultiPolygon,FALSE,Department for Levelling Up Housing and Communities,http://maps.communities.gov.uk/geoserver/dclg_inspire/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dclg_inspire%3AEngland_Green_Belt_2019-20_WGS84&outputFormat=SHAPE-ZIP,,TRUE,FALSE
listedbuildings,listedbuildings.geojson.zip,Listed Buildings,Listing marks and celebrates a building's special architectural and historic interest.,Point,TRUE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
nationalparks,nationalparks.geojson.zip,National Parks,National Parks of England Scotland and Wales,MultiPolygon,FALSE,,,,TRUE,FALSE
parishes,parishes.geojson.zip,Parishes,Parish boundaries in 2020,MultiPolygon,FALSE,MALCOLMMORGAN,,,TRUE,FALSE
parksandgardens,parksandgardens.geojson.zip,Registered Parks & Gardens,Register of Parks and Gardens of Special Historic Interest in England,MultiPolygon,TRUE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
scheduledmonuments,scheduledmonuments.geojson.zip,Scheduled Monuments,Scheduling is our oldest form of heritage protection,MultiPolygon,FALSE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
wards,wards.geojson.zip,Wards,Ward boundaries in 2020,MultiPolygon,FALSE,MALCOLMMORGAN,,,TRUE,FALSE
worldheritagesites,worldheritagesites.geojson.zip,World Heritage Sites,UNESCO world heritage sites,MultiPolygon,FALSE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
publictransport,publictransport.geojson.zip,Public transport stops,Great Britain public transport stops,Point,TRUE,PBCC,https://www.carbon.place,--name=publictransport --layer=publictransport --attribution=MALCOLMMORGAN --maximum-zoom=13 --minimum-zoom=4 --drop-densest-as-needed -rg4 --force,TRUE,FALSE
dem,UKdem.tif.zip,UK elevation map,UK elevation map,Raster,FALSE,OS,https://www.ordnancesurvey.co.uk/business-government/products/terrain-50,,FALSE,FALSE
desire_lines,desire_lines.geojson.zip,NTEM desire lines,NTEM desire lines,LineString,TRUE,DfT,https://www.dft.gov.uk/,,FALSE,TRUE
aonb,aonb.geojson.zip,Areas of Outstanding Natural Beauty,Areas of Outstanding Natural Beauty,MultiPolygon,FALSE,Historic England,https://historicengland.org.uk/listing/the-list/data-downloads/,,TRUE,FALSE
sssi,SSSI.geojson.zip,SSSI,Site of Special Scientific Interest,Polygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
sac,SAC.geojson.zip,SAC,Special Area of Conservation,MultiPolygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
spa,SPA.geojson.zip,SPA,Special Protection Area,MultiPolygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
naturereserves,naturereserves.geojson.zip,Nature Reserves,National nature reserves (England/Scotland/Wales) and local nature reserves (England),Polygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
landcover,landcover.tif.zip,Land Cover,Land cover map,Raster,FALSE,EU,https://land.copernicus.eu/pan-european/corine-land-cover,,FALSE,FALSE
floodzones,floodzones.geojson.zip,Flood zones,Flood Zones,MultiPolygon,TRUE,EA,https://www.gov.uk/government/organisations/environment-agency,,TRUE,FALSE
ancientwoodland,ancientwoodland.geojson.zip,Ancient Woodland,Ancient Woodland,MultiPolygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
ramsar,RAMSAR.geojson.zip,RAMSAR Sites,Wetlands of international importance especially as waterfowl habitat,MultiPolygon,FALSE,Natural England,https://www.gov.uk/government/organisations/natural-england,,TRUE,FALSE
materialsites,materialsites.geojson.zip,Material sites,Locations of construction materials sites,Point,TRUE,Jannik Giesekam,,,TRUE,TRUE
bedrock,bedrock.geojson.zip,Bedrock Geology,Bedrock geology,MultiPolygon,TRUE,BGS,,,TRUE,TRUE
superficial,superficial.geojson.zip,Superficial Geology,Superficial Geology,MultiPolygon,TRUE,BGS,,,TRUE,TRUE
